"Timestamp","Favorite Places on Pitt's Campus [First Choice]","Favorite Places on Pitt's Campus [Second Choice]","Favorite Places on Pitt's Campus [Third Choice]","Favorite Places on Pitt's Campus [Fourth Choice]","Favorite Places on Pitt's Campus [Fifth Choice]","Favorite Places on Pitt's Campus [Sixth Choice]","Favorite Places on Pitt's Campus [Seventh Choice]"
"2020/01/31 8:24:06 PM EST","Frick Fine Arts","Cathy","WPU","The Pete","Information Science Building","Sennott Square","Benedum"
"2020/01/31 8:25:08 PM EST","Cathy","Hillman","WPU","Frick Fine Arts","Benedum","Information Science Building","The Pete"
"2020/01/31 8:26:12 PM EST","Frick Fine Arts","Cathy","Hillman","Benedum","WPU","Information Science Building","The Pete"
"2020/01/31 8:28:01 PM EST","Sennott Square","Hillman","Cathy","WPU","Information Science Building","Frick Fine Arts","The Pete"
"2020/01/31 8:30:34 PM EST","Cathy","Sennott Square","Frick Fine Arts","WPU","Hillman","Benedum","Information Science Building"
"2020/01/31 8:32:53 PM EST","Cathy","Hillman","Sennott Square","WPU","Benedum","Frick Fine Arts","The Pete"
"2020/01/31 8:35:10 PM EST","Frick Fine Arts","WPU","Cathy","Sennott Square","Information Science Building","Hillman","The Pete"
"2020/01/31 8:35:53 PM EST","Frick Fine Arts","Cathy","WPU","Hillman","Sennott Square","Benedum","The Pete"
"2020/01/31 8:37:45 PM EST","Hillman","Benedum","","","","",""
"2020/01/31 8:38:05 PM EST","Cathy","Hillman","Benedum","Frick Fine Arts","Sennott Square","The Pete","Information Science Building"
"2020/01/31 8:40:02 PM EST","WPU","The Pete","","","","",""
"2020/01/31 8:46:33 PM EST","Hillman","Cathy","WPU","Benedum","Sennott Square","Information Science Building","Frick Fine Arts"
"2020/01/31 8:48:19 PM EST","Sennott Square","Cathy","WPU","","Frick Fine Arts","Hillman","Benedum"
"2020/01/31 8:50:45 PM EST","Hillman","Sennott Square","WPU","Frick Fine Arts","Cathy","Benedum",""
"2020/01/31 8:51:09 PM EST","Sennott Square","Cathy","Hillman","The Pete","","",""
"2020/01/31 8:54:03 PM EST","Information Science Building","Hillman","Cathy","Sennott Square","WPU","Benedum",""
"2020/01/31 8:56:40 PM EST","Hillman","WPU","Information Science Building","","","",""
"2020/01/31 8:58:29 PM EST","Hillman","Information Science Building","Frick Fine Arts","","","",""
"2020/01/31 9:04:07 PM EST","Hillman","Cathy","WPU","Benedum","Sennott Square","Information Science Building","Frick Fine Arts"
"2020/01/31 9:08:08 PM EST","Cathy","Hillman","Information Science Building","Frick Fine Arts","The Pete","Sennott Square","Benedum"
"2020/01/31 9:11:36 PM EST","Hillman","WPU","Frick Fine Arts","The Pete","Information Science Building","Benedum","Cathy"
"2020/01/31 9:14:59 PM EST","Hillman","Sennott Square","Benedum","Information Science Building","Cathy","",""
"2020/01/31 9:15:57 PM EST","Cathy","Hillman","Frick Fine Arts","Sennott Square","WPU","Information Science Building","The Pete"
"2020/01/31 9:39:02 PM EST","Frick Fine Arts","Cathy","Sennott Square","WPU","Hillman","The Pete","Benedum"
"2020/01/31 9:46:08 PM EST","WPU","Cathy","Hillman","Benedum","Sennott Square","Information Science Building","Frick Fine Arts"
"2020/01/31 9:53:31 PM EST","Cathy","Hillman","WPU","Sennott Square","Frick Fine Arts","The Pete","Information Science Building"
"2020/01/31 9:58:38 PM EST","Cathy","Frick Fine Arts","The Pete","WPU","Benedum","Sennott Square","Hillman"