"Timestamp","Favorite Places to Eat in Oakland [First Choice]","Favorite Places to Eat in Oakland [Second Choice]","Favorite Places to Eat in Oakland [Third Choice]","Favorite Places to Eat in Oakland [Fourth Choice]","Favorite Places to Eat in Oakland [Fifth Choice]","Favorite Places to Eat in Oakland [Sixth Choice]","Favorite Places to Eat in Oakland [Seventh Choice]","Favorite Places to Eat in Oakland [Eighth Choice]","Favorite Places to Eat in Oakland [Ninth Choice]","Favorite Places to Eat in Oakland [Tenth Choice]"
"2020/01/31 8:24:16 PM EST","Roots Natural Kitchen","Sushi Fuku","Mt. Everest","Pie Express","Pamela's","Stack'd","CHiKN","","",""
"2020/01/31 8:26:48 PM EST","Roots Natural Kitchen","Pamela's","Oishii","Mt. Everest","Stack'd","Sushi Fuku","Szechuan","Fuel & Fuddle","Pie Express","Chicken Bubbly"
"2020/01/31 8:27:36 PM EST","Stack'd","Pamela's","Mt. Everest","Oishii","Roots Natural Kitchen","Pie Express","Szechuan","Fuel & Fuddle","CHiKN",""
"2020/01/31 8:30:04 PM EST","Pie Express","Chicken Bubbly","Pamela's","Szechuan","","","","","",""
"2020/01/31 8:32:06 PM EST","Pie Express","Chicken Bubbly","CHiKN","","","","","","",""
"2020/01/31 8:35:27 PM EST","Mt. Everest","Roots Natural Kitchen","Fuel & Fuddle","","","","","","",""
"2020/01/31 8:35:42 PM EST","Mt. Everest","Oishii","Pamela's","Stack'd","CHiKN","Chicken Bubbly","Sushi Fuku","Pie Express","Roots Natural Kitchen","Fuel & Fuddle"
"2020/01/31 8:39:30 PM EST","Oishii","Mt. Everest","Sushi Fuku","Szechuan","Roots Natural Kitchen","CHiKN","Chicken Bubbly","Pie Express","Fuel & Fuddle","Stack'd"
"2020/01/31 8:39:51 PM EST","Szechuan","Fuel & Fuddle","","","","","","","",""
"2020/01/31 8:45:02 PM EST","Mt. Everest","Pie Express","Stack'd","Sushi Fuku","Chicken Bubbly","CHiKN","Roots Natural Kitchen","Pamela's","Oishii","Fuel & Fuddle"
"2020/01/31 8:45:49 PM EST","Szechuan","Oishii","Sushi Fuku","CHiKN","Chicken Bubbly","Pie Express","Fuel & Fuddle","Pamela's","Mt. Everest","Roots Natural Kitchen"
"2020/01/31 8:49:03 PM EST","Roots Natural Kitchen","Sushi Fuku","Oishii","Szechuan","","","","","",""
"2020/01/31 8:49:58 PM EST","Sushi Fuku","Oishii","","","","","","","",""
"2020/01/31 8:51:35 PM EST","CHiKN","Chicken Bubbly","Oishii","Sushi Fuku","","","","","",""
"2020/01/31 8:53:35 PM EST","Stack'd","Pie Express","","","","","","","",""
"2020/01/31 8:56:15 PM EST","Szechuan","Pie Express","CHiKN","Pamela's","","","","","",""
"2020/01/31 8:59:09 PM EST","Pie Express","Roots Natural Kitchen","Oishii","","","","","","",""
"2020/01/31 9:03:35 PM EST","Stack'd","Pamela's","Roots Natural Kitchen","Chicken Bubbly","Fuel & Fuddle","","","","",""
"2020/01/31 9:07:13 PM EST","Oishii","Roots Natural Kitchen","Szechuan","Pamela's","Mt. Everest","Stack'd","Sushi Fuku","CHiKN","Pie Express","Fuel & Fuddle"
"2020/01/31 9:10:57 PM EST","Roots Natural Kitchen","Pamela's","Szechuan","CHiKN","Stack'd","","","","",""
"2020/01/31 9:15:01 PM EST","Oishii","Chicken Bubbly","Pamela's","Stack'd","","","","","",""
"2020/01/31 9:17:27 PM EST","Chicken Bubbly","Pamela's","CHiKN","Mt. Everest","Stack'd","Sushi Fuku","Pie Express","","",""
"2020/01/31 9:38:20 PM EST","Pamela's","CHiKN","Chicken Bubbly","Fuel & Fuddle","Stack'd","Oishii","Pie Express","Szechuan","Roots Natural Kitchen","Sushi Fuku"
"2020/01/31 9:43:46 PM EST","Pamela's","Fuel & Fuddle","Pie Express","CHiKN","Chicken Bubbly","Oishii","Mt. Everest","Stack'd","Sushi Fuku","Szechuan"
"2020/01/31 9:53:02 PM EST","Roots Natural Kitchen","Stack'd","Fuel & Fuddle","Pamela's","","","","","",""
"2020/01/31 9:57:33 PM EST","Szechuan","Pie Express","CHiKN","Sushi Fuku","Fuel & Fuddle","Oishii","Stack'd","Pamela's","Roots Natural Kitchen","Chicken Bubbly"